Categoría,Componente / Descripción,MPN (Mfr Part Number),Marca / Fabricante,Cantidad,Unitario (USD),Total (USD),Total (PYG),Proveedor / Link
MCU,Microcontrolador ESP32-S3,ESP32-S3-WROOM-1-N16R8,Espressif Systems,2.0,8.72,17.44,111459,https://www.mouser.com/ProductDetail/Espressif-Systems/ESP32-S3-WROOM-1-N16R8
LDO,Regulador LDO (3.3V),LD1117S33TR,STMicroelectronics,2.0,0.34,0.68,4346,https://www.mouser.com/ProductDetail/STMicroelectronics/LD1117S33TR
DRIVER,Driver de Motor H-Bridge,DRV8873SPWPRQ1,Texas Instruments,2.0,4.13,8.26,52790,https://www.mouser.com/ProductDetail/Texas-Instruments/DRV8873SPWPRQ1
USB-C,Conector USB Tipo C Hembra 16 Pines,USB4510-03-1-A,GCT,1.0,0.84,0.84,5368,https://www.mouser.com/ProductDetail/GCT/USB4510-03-1-A
CAMERA,Módulo de Cámara OV5640 (5 MP),5840 (Adafruit),Adafruit,1.0,9.95,9.95,63590,https://www.adafruit.com/product/5840
SERVO,Servomotor 180 Grados,SER0006,DFRobot,1.0,3.63,3.63,23199,https://www.dfrobot.com/product-2525.html
DIODO,Diodo Schottky 40V 1A,SS14F-HF,Taiwan Semiconductor,4.0,0.32,1.28,8180,https://www.mouser.com/ProductDetail/Taiwan-Semiconductor/SS14F-HF
CAPACITOR,Capacitor Cerámico 10nF 0805,CL21B103KBANNNC,Samsung Electro-Mechanics,6.0,0.10,0.60,3835,https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21B103KBANNNC
CAPACITOR,Capacitor Cerámico 47nF 0805,CL21B473KBCNNNC,Samsung Electro-Mechanics,6.0,0.10,0.60,3835,https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21B473KBCNNNC
CAPACITOR,Capacitor Cerámico 100nF 0805,CL21B104KBCNNNC,Samsung Electro-Mechanics,6.0,0.10,0.60,3835,https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21B104KBCNNNC
CAPACITOR,Capacitor Cerámico 220nF 0805,CL21B224KBFNNNE,Samsung Electro-Mechanics,6.0,0.10,0.60,3835,https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21B224KBFNNNE
CAPACITOR,Capacitor Cerámico 470nF 0805,CL21B474KOFNNNE,Samsung Electro-Mechanics,6.0,0.10,0.60,3835,https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21B474KOFNNNE
CAPACITOR,Capacitor Cerámico 1uF 0805,CL21B105KAFNNNE,Samsung Electro-Mechanics,6.0,0.10,0.60,3835,https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21B105KAFNNNE
CAPACITOR,Capacitor Cerámico 2.2uF 0805,CL21B225KOFNNNE,Samsung Electro-Mechanics,6.0,0.12,0.72,4602,https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21B225KOFNNNE
CAPACITOR,Capacitor Cerámico 4.7uF 0805,CL21B475KOFNNNE,Samsung Electro-Mechanics,6.0,0.25,1.50,9587,https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21B475KOFNNNE
CAPACITOR,Capacitor Cerámico 10uF 0805,CL21B106KOQNNNE,Samsung Electro-Mechanics,6.0,0.14,0.84,5368,https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21B106KOQNNNE
CAPACITOR,Capacitor Cerámico 22uF 0805,CL21A226MQQNNNE,Samsung Electro-Mechanics,6.0,0.13,0.78,4985,https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21A226MQQNNNE
CAPACITOR,Capacitor Electrolítico 100uF,EEE-FK1H101P,Panasonic,6.0,0.76,4.56,29143,https://www.mouser.com/ProductDetail/Panasonic/EEE-FK1H101P
RESISTENCIA,Resistencia 0 Ohm 0805,RC0805JR-070RL,YAGEO,6.0,0.10,0.60,3835,https://www.mouser.com/ProductDetail/YAGEO/RC0805JR-070RL
RESISTENCIA,Resistencia 100 Ohm 0805,RC0805FR-07100RL,YAGEO,6.0,0.10,0.60,3835,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-07100RL
RESISTENCIA,Resistencia 220 Ohm 0805,RC0805FR-07220RL,YAGEO,6.0,0.10,0.60,3835,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-07220RL
RESISTENCIA,Resistencia 1k Ohm 0805,RC0805FR-071KL,YAGEO,6.0,0.10,0.60,3835,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-071KL
RESISTENCIA,Resistencia 1.5k Ohm 0805,RC0805FR-071K5L,YAGEO,6.0,0.10,0.60,3835,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-071K5L
RESISTENCIA,Resistencia 2.2k Ohm 0805,RC0805FR-072K2L,YAGEO,6.0,0.10,0.60,3835,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-072K2L
RESISTENCIA,Resistencia 3.3k Ohm 0805,RC0805FR-073K3L,YAGEO,6.0,0.10,0.60,3835,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-073K3L
RESISTENCIA,Resistencia 4.7k Ohm 0805,RC0805FR-074K7L,YAGEO,6.0,0.10,0.60,3835,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-074K7L
RESISTENCIA,Resistencia 5.1k Ohm 0805,RC0805FR-075K1L,YAGEO,6.0,0.10,0.60,3835,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-075K1L
RESISTENCIA,Resistencia 6.8k Ohm 0805,RC0805FR-076K8L,YAGEO,6.0,0.10,0.60,3835,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-076K8L
RESISTENCIA,Resistencia 10k Ohm 0805,RC0805FR-0710KL,YAGEO,6.0,0.11,0.66,4218,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-0710KL
RESISTENCIA,Resistencia 15k Ohm 0805,RC0805FR-0715KL,YAGEO,6.0,0.13,0.78,4985,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-0715KL
RESISTENCIA,Resistencia 47k Ohm 0805,RC0805FR-0747KL,YAGEO,6.0,0.10,0.60,3835,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-0747KL
TOTAL,120 Componentes en total,-,-,120.0,-,62.12,397009,Tasa de cambio: 1 USD = 6391 PYG. Costo por persona (3 integrantes): $20.71 USD (132336 PYG)
